sample,collectdate,slurry,analysisweightusedg,replicate_tubefromslurry,testtube,softtube,testtube2 (9ml saline solution),imagefromtube,cassette,well,captured,sampleid,labid,image,eggcounts(strongyle),epg(2wellscombined)(strongyle),notes
fpgreenmob,10/05/2024,1,20.9,1,fec1,1,11,,2,1,y,498346,144002,,3,55,
fpgreenmob,10/05/2024,1,20.9,1,fec1,1,11,,2,2,y,498346,144002,,8,55,
fpgreenmob,10/05/2024,1,20.9,2,fec2,2,12,,2,1,y,498345,144002,,0,0,
fpgreenmob,10/05/2024,1,20.9,2,fec2,2,12,,2,2,y,498345,144002,,0,0,
fpgreenmob,10/05/2024,1,20.9,3,fec3,3,13,,2,1,y,498344,144002,,0,0,
fpgreenmob,10/05/2024,1,20.9,3,fec3,3,13,,2,2,y,498344,144002,,0,0,
fpbluemob,10/05/2024,1,23.6,1,fec4,,fec26,,2,1,y,498114,143936,,1,5,
fpbluemob,10/05/2024,1,23.6,1,fec4,,fec26,,2,2,y,498114,143936,,1,5,
fpbluemob,10/05/2024,1,23.6,2,fec5,,fec36,,,1,,,,,,,
fpbluemob,10/05/2024,1,23.6,2,fec5,,fec36,,,2,,,,,,,
fpbluemob,10/05/2024,1,23.6,3,fec6,,fec47,,2,1,y,498110,143932,,1,25,
fpbluemob,10/05/2024,1,23.6,3,fec6,,fec47,,2,2,y,498110,143932,,4,25,
fpbluemob,10/05/2024,1,23.6,4,fec6,1,fec1,,2,1,y,498358,144012,,6,30,
fpbluemob,10/05/2024,1,23.6,4,fec6,1,fec1,,2,2,y,498358,144012,,0,30,
fpbluemob,10/05/2024,1,23.6,5,fec26,2,fec2,,2,1,y,498359,144012,,2,35,
fpbluemob,10/05/2024,1,23.6,5,fec26,2,fec2,,2,2,y,498359,144012,,5,35,
fpgreenmob,17/05/2024,1,16.6,1,fec1,1,fec50,,,1,y,499585,144308,,5,50,
fpgreenmob,17/05/2024,1,16.6,1,fec1,1,fec50,,,2,y,499585,144308,,5,50,
fpgreenmob,17/05/2024,1,16.6,2,fec2,2,fec49,,,1,y,499584,144308,,4,20,
fpgreenmob,17/05/2024,1,16.6,2,fec2,2,fec49,,,2,y,499584,144308,,0,20,
fpgreenmob,17/05/2024,1,16.6,3,fec3,3,fec48,,,1,y,499583,144308,,3,40,
fpgreenmob,17/05/2024,1,16.6,3,fec3,3,fec48,,,2,y,499583,144308,,5,40,
fpbluemob,17/05/2024,1,21,1a,fec4,4,fec47,,,1,y,499590,144310,,7,70,
fpbluemob,17/05/2024,1,21,1a,fec4,4,fec47,,,2,y,499590,144310,,7,70,
fpbluemob,17/05/2024,1,21,2,fec5,5,fec46,,,1,y,499589,144310,,0,0,
fpbluemob,17/05/2024,1,21,2,fec5,5,fec46,,,2,y,499589,144310,,0,0,
fpbluemob,17/05/2024,1,21,3,fec6,6,fec45,,,1,y,499588,144310,,0,10,
fpbluemob,17/05/2024,1,21,3,fec6,6,fec45,,,2,y,499588,144310,,2,10,
fpbluemob,17/05/2024,1,21,1b(from fec47),fec4,4,fec47,,,1,y,499587,144310,,0,0,
