farmlet,week,collectdate,slurry,analysisweightusedg,replicate,testtube,softtube,testtube2 (9ml saline solution),image,cassette,well,captured,id,labid,image,eggcounts(strongyle),epg(2wellscombined)(strongyle),notes
fpgreenmob,1,10/05/2024,1,20.9,1,fec1,1,11,a,2,1,y,498346,144002,,3,55,
fpgreenmob,1,10/05/2024,1,20.9,1,fec1,1,11,a,2,2,y,498346,144002,,8,55,
fpgreenmob,1,10/05/2024,1,20.9,2,fec2,2,12,a,2,1,y,498345,144002,,0,0,
fpgreenmob,1,10/05/2024,1,20.9,2,fec2,2,12,a,2,2,y,498345,144002,,0,0,
fpgreenmob,1,10/05/2024,1,20.9,3,fec3,3,13,a,2,1,y,498344,144002,,0,0,
fpgreenmob,1,10/05/2024,1,20.9,3,fec3,3,13,a,2,2,y,498344,144002,,0,0,
fpbluemob,1,10/05/2024,1,23.6,1,fec4,,fec26,a,2,1,y,498114,143936,,1,5,
fpbluemob,1,10/05/2024,1,23.6,1,fec4,,fec26,a,2,2,y,498114,143936,,1,5,
fpbluemob,1,10/05/2024,1,23.6,3,fec6,,fec47,a,2,1,y,498110,143932,,1,25,
fpbluemob,1,10/05/2024,1,23.6,3,fec6,,fec47,a,2,2,y,498110,143932,,4,25,
fpbluemob,1,10/05/2024,1,23.6,4,fec6,1,fec1,a,2,1,y,498358,144012,,6,30,
fpbluemob,1,10/05/2024,1,23.6,4,fec6,1,fec1,a,2,2,y,498358,144012,,0,30,
fpbluemob,1,10/05/2024,1,23.6,5,fec26,2,fec2,a,2,1,y,498359,144012,,2,35,
fpbluemob,1,10/05/2024,1,23.6,5,fec26,2,fec2,a,2,2,y,498359,144012,,5,35,
fpgreenmob,2,17/05/2024,1,16.6,1,fec1,1,fec50,a,,1,y,499585,144308,,5,50,
fpgreenmob,2,17/05/2024,1,16.6,1,fec1,1,fec50,a,,2,y,499585,144308,,5,50,
fpgreenmob,2,17/05/2024,1,16.6,2,fec2,2,fec49,a,,1,y,499584,144308,,4,20,
fpgreenmob,2,17/05/2024,1,16.6,2,fec2,2,fec49,a,,2,y,499584,144308,,0,20,
fpgreenmob,2,17/05/2024,1,16.6,3,fec3,3,fec48,a,,1,y,499583,144308,,3,40,
fpgreenmob,2,17/05/2024,1,16.6,3,fec3,3,fec48,a,,2,y,499583,144308,,5,40,
fpbluemob,2,17/05/2024,1,21,1,fec4,4,fec47,a,,1,y,499590,144310,,7,70,
fpbluemob,2,17/05/2024,1,21,1,fec4,4,fec47,a,,2,y,499590,144310,,7,70,
fpbluemob,2,17/05/2024,1,21,2,fec5,5,fec46,a,,1,y,499589,144310,,0,0,
fpbluemob,2,17/05/2024,1,21,2,fec5,5,fec46,a,,2,y,499589,144310,,0,0,
fpbluemob,2,17/05/2024,1,21,3,fec6,6,fec45,a,,1,y,499588,144310,,0,10,
fpbluemob,2,17/05/2024,1,21,3,fec6,6,fec45,a,,2,y,499588,144310,,2,10,
fpbluemob,2,17/05/2024,1,21,1,fec4,4,fec47,b,,1,y,499587,144310,,0,0,
fpbluemob,2,17/05/2024,1,21,1,fec4,4,fec47,b,,2,y,499587,144310,,0,0,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,a,2,1,y,499859,144493,,7,80,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,a,2,2,y,499859,144493,,9,80,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,b,1,1,y,499858,144493,,4,45,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,b,1,2,y,499858,144493,,5,45,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,c,2,1,y,499857,144493,,6,30,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,c,2,2,y,499857,144493,,0,30,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,d,1,1,y,499856,144493,,0,30,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,d,1,2,y,499856,144493,,6,30,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,e,2,1,y,499855,144493,,2,20,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,e,2,2,y,499855,144493,,2,20,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,f,1,1,y,499854,144493,,0,5,
fpgreenmob,2,17/05/2024,2,16.5,1,fec1,1,fec50,f,1,2,y,499854,144493,,1,5,
