image_id,egg,length.px,width.px,id
498346-1,1,70.34,36.14,others
498346-1,2,67.19,37.11,others
498346-1,3,66.48,34.53,others
498346-2,1,75.13,33.24,others
498346-2,2,72.99,30.15,others
498346-2,3,70.38,30.59,others
498346-2,4,69.3,34.06,others
498346-2,5,66.01,34.06,others
498346-2,6,67.23,35.9,others
498346-2,7,55.95,30.46,others
498346-2,8,59.23,29.27,others
498114-1,1,67.05,37.7,others
498114-2,1,65.31,41,others
498110-1,1,62.2,30.23,others
498110-2,1,62.94,33.6,others
498110-2,2,59.06,28.64,others
498110-2,3,60.02,32.25,others
498110-2,4,67.42,31.06,others
498358 - 1,1,61.29,34.21,others
498358 - 1,2,67.05,35.47,others
498358 - 1,3,70.71,31.89,others
498358 - 1,4,71.12,40.25,others
498358 - 1,5,64.2,33.38,others
498358 - 1,6,69.2,36.88,others
498359 - 1,1,69.31,39.05,others
498359 - 1,2,66.61,27.8,others
498359 - 2,1,66.57,30.53,others
498359 - 2,2,76.79,34.06,others
498359 - 2,3,63.35,26.68,others
498359 - 2,4,65.15,33.53,others
499585-1,1,68.87,29.82,others
499585-1,2,61.58,26.57,others
499585-1,3,65.08,38.12,others
499585-1,4,62.47,34.72,others
499585-1,5,67.87,34.1,others
499585-2,1,77.78,32.32,coop
499585-2,2,76.44,45.29,others
499585-2,3,63.3,28.43,others
499585-2,4,60.68,35.14,others
499584 - 1,1,69.16,31.98,coop
499584 - 1,2,62.64,31.29,others
499584 - 1,3,59.34,30.74,others
499584 - 1,4,57.82,33.89,others
499583 - 1,1,66.38,33.6,others
499583 - 1,2,65.48,36.06,others
499583 - 1,3,72.56,44.3,others
499583 - 2,1,60.97,35.35,others
499583 - 2,2,79.1,48.38,others
499583 - 2,3,68.88,36.67,others
499583 - 2,4,65.34,39.46,others
499590 - 1,1,71.51,33.73,others
499590 - 1,2,68.8,32.77,others
499590 - 1,3,71.22,31.76,coop
499590 - 1,4,73.95,30,others
499590 - 1,5,73.58,36.21,others
499590 - 1,6,71.89,44.98,others
499590 - 1,7,71.35,35.12,others
499590 - 2,1,67.93,37.36,others
499590 - 2,2,71.8,34.8,others
499590 - 2,3,70.62,39.27,others
499590 - 2,4,66.95,34.69,others
499590 - 2,5,61.14,34.18,others
499588 - 2,1,69.99,32.34,others
499588 - 2,2,63.34,38.15,others
499859 - 1,1,74.58,40.75,others
499859 - 1,2,70.57,36.97,others
499859 - 1,3,70.22,32.52,others
499859 - 1,4,66.49,32.43,others
499859 - 1,5,59.85,38.66,others
499859 - 1,6,72.53,32.55,others
499859 - 1,7,62.05,38.48,others
499859 - 2,1,63.67,27.76,others
499859 - 2,2,63.63,32.23,others
499859 - 2,3,70.32,33.5,others
499859 - 2,4,60.19,36.06,others
499859 - 2,5,59.27,32.83,others
499859 - 2,6,62.59,34.02,others
499859 - 2,7,73.14,31.62,others
499859 - 2,8,69.88,28.12,others
499858 - 1,1,60.82,26.14,others
499858 - 1,2,68.18,39.25,others
499858 - 1,3,65.83,36.27,others
499858 - 1,4,65.32,31.97,others
499858 - 2,1,64.97,32.06,others
499858 - 2,2,61.15,29.31,others
499858 - 2,3,72.94,28.7,others
499858 - 2,4,66.02,36.76,others
